Name,BirthYear
Angelo Teja,
Angelo Velardi,
Angelo Velardi,1991
Aniello Sirica,2005
Anita Bertoni,
Anita Bertoni,2008
Anita Curra',
Anita Curra',2003
Anna Antonia Papapicco,
Anna Antonia Papapicco,1977
Anna Beghin,
Anna Beghin,1994
Anna Biondo,
Anna Cerruto,
Anna Cicognani,
Anna Cicognani,1998
Anna Cosmar,
Anna Cosmar,2000
Anna Dalla Costa,
Anna Dalla Costa,2002
Anna Di Maggio,1998
Anna Fabbris,2002
Anna Formici,
Anna Formici,1992
Anna Genna,2009
Anna Germiniasi,
Anna Giacometti,1996
Anna Manenti,
Anna Manenti,1995
Anna Maria Marcantonio,
Anna Maria Marcantonio,1965
Anna Murano,
Anna Murano,1961
Anna Papapicco,
Anna Saletta,
Anna Stenghel,
Anna Stenghel,1968
Anna Suriani,1957
Anna Tagliapietra,
Anna Ughini,2006
Annalisa Brilli,
Annalisa Brilli,1995
Annalisa Chierici,
Annalisa Chierici,2001
Annalisa Ghirotti,
Annalisa Landillo,2006
Annalisa Motta,
Annalisa Motta,1995
Annalisa Piccolo,
Annalisa Rosorani,1987
Annalisa Zanchi,
Annalisa Zoia,
Annamaria Chincoli,
Annamaria Chincoli,1995
Annamaria Perri #1,
Annamaria Perri #1,2007
Annarita Baldacchino,
Annunziata D'Angelo,1993
Anontio Contenta,
Anrdea Fusco,
Anthony Cosano,
Anthony Cusano,
Anthony Cusano,1994
Anthony Focarile,
Anthony Focarile,1998
Antimo Cembalo,
Antimo Cembalo,1989
Anto Mastrolonardo,
Anto Mastrolonardo,1973
Anton Mario Pieragostini,
Anton Mario Pieragostini,1991
Anton Mastrolonardo,1973
Antonella Barbetta,
Antonella Barbetta,1999
Antonella Boccola,
Antonella De Mattia,
Antonella De Mattia,1981
Antonella Falanga,1993
Antonella Martino,
Antonella Morrone,1991
Antonello Boccola,
Antonello Casu,
Antonello De Bernardinis,
Antonello Di Giuseppe,
Antonello Leggieri,1991
Antonello Mellino,
Antonello Verachi,
Antonietta Frigenti,
Antonietta Orsini,
Antonietta Orsini,1964
Antonino Barbera,
Antonino Camarda,2005
Antonino Cannella,
Antonino Cannella,2004
Antonino D'Esposito,1995
Antonino D'Esposito,1996
Antonino Daidone,
Antonino De Pasquale,
Antonino De Pasquale,1989
Antonino Meli,1993
Antonino Miceli,2002
Antonino Pintabona,1988
Antonino Vattiata,
Antonino Vattiata,1979
Antonino Vitiello,1991
Antonio Albano,
Antonio Angeli,
Antonio Angeli,1955
Antonio Auletta,2003
Antonio Balice,
Antonio Bellusci,
Antonio Bellusci,1989
Antonio Belvedere,2002
Antonio Bruno,
Antonio Buono,1999
Antonio Cabula,
Antonio Campaner,
Antonio Carletti,
Antonio Carozzi,1978
Antonio Cassano,
Antonio Cassella,
Antonio Contenta,
Antonio Contenta,1989
Antonio Coppedè,
Antonio Coppedè,1992
Antonio Cordova,
Antonio Corsini,1985
Antonio De Marco,1991
Antonio De Riggi,2003
Antonio De Zio,
Antonio De Zio,1972
Antonio Devaddis,
Antonio Devaddis,2001
Antonio Di Ruggiero,1990
